replica,variable,p_valor_ajustado_BH
15,pct_origen_emergencia,0.3373089978503186
15,pct_origen_referencia,0.10961092671496171
15,pct_uso_pabellon,0.3228331498973224
15,pabellones_promedio,0.07351335139890221
15,tasa_partos,0.00357095569190559
15,tasa_prematurez,0.2903941417797537
15,cv_estancia,0.0005548049280496177
15,pct_estancia_larga,0.030734957532166342
16,egresos_por_anio,0.13619552769551302
16,estancia_media,3.453099034096766e-05
16,estancia_mediana,9.018725689174555e-06
16,peso_medio_grd,6.964449284939853e-06
16,severidad_media,0.0004156826313997422
16,mortalidad_media,3.266308410168558e-06
16,entropia_grd,0.26746004729083955
16,comorbilidades_promedio,0.0012616633779619724
16,tasa_cma,0.9752398344672865
16,peso_medio_cma,2.2792975839003385e-05
16,pct_pediatrico,3.266308410168558e-06
16,pct_geriatrico,3.571025924551094e-07
16,pct_femenino_fertil,7.469553719730531e-06
16,edad_mediana,6.454360002304032e-07
16,pct_urgencia,0.0004156826313997422
16,pct_programada,1.0011980186305327e-05
16,pct_obstetrica_ingreso,6.918951225814236e-05
16,pct_alta_domicilio,0.00020811618002806475
16,pct_alta_fallecido,1.6988686053664966e-05
16,pct_alta_traslado,0.010117585836713044
16,pct_origen_emergencia,8.494629739868014e-05
16,pct_origen_referencia,2.4367075223854004e-05
16,pct_uso_pabellon,0.15925324991508394
16,pabellones_promedio,0.13619552769551302
16,tasa_partos,4.658900352796475e-05
16,tasa_prematurez,0.017181994447463683
16,cv_estancia,0.0004156826313997422
16,pct_estancia_larga,0.0002093118391052446
17,egresos_por_anio,0.4864712334039322
17,estancia_media,0.018231387215586002
17,estancia_mediana,0.00028825829091175004
17,peso_medio_grd,0.00822635303310847
17,severidad_media,0.00048415931851226714
17,mortalidad_media,8.055238718250787e-05
17,entropia_grd,2.5839326560825874e-05
17,comorbilidades_promedio,0.00014682133903907106
17,tasa_cma,0.00021594137790606385
17,peso_medio_cma,0.0004804753834576587
17,pct_pediatrico,7.795548011998601e-09
17,pct_geriatrico,2.7202118765242158e-08
17,pct_femenino_fertil,5.1785763165047324e-06
17,edad_mediana,1.2956316247687378e-08
17,pct_urgencia,0.2552411705203586
17,pct_programada,0.11277152047255318
17,pct_obstetrica_ingreso,0.00014682133903907106
17,pct_alta_domicilio,1.7750557942434598e-05
17,pct_alta_fallecido,2.6693459117930235e-05
17,pct_alta_traslado,0.0061218714388655
17,pct_origen_emergencia,0.8680974904252319
17,pct_origen_referencia,0.11277152047255318
17,pct_uso_pabellon,0.005078644872409804
17,pabellones_promedio,0.00801593851553565
17,tasa_partos,0.0010279794394155602
17,tasa_prematurez,0.6270365236695422
17,cv_estancia,0.0033162513048261813
17,pct_estancia_larga,0.10306953676526759
18,egresos_por_anio,0.684000673754744
18,estancia_media,0.006294000447654468
18,estancia_mediana,0.006294000447654468
18,peso_medio_grd,2.0894366356845825e-06
18,severidad_media,0.004123452550322108
18,mortalidad_media,0.003753788669163294
18,entropia_grd,0.03694142846605661
18,comorbilidades_promedio,0.02912420723401816
18,tasa_cma,0.03650851394700056
18,peso_medio_cma,0.03735487343929972
18,pct_pediatrico,2.4485804063107093e-09
18,pct_geriatrico,1.2182862795500317e-07
18,pct_femenino_fertil,5.46640118099564e-06
18,edad_mediana,6.529788608531771e-09
18,pct_urgencia,0.10955786240746035
18,pct_programada,5.592860644953466e-05
18,pct_obstetrica_ingreso,5.46640118099564e-06
18,pct_alta_domicilio,0.008140845283247084
18,pct_alta_fallecido,1.3974002976049161e-05
18,pct_alta_traslado,0.17907193296136512
18,pct_origen_emergencia,0.006294000447654468
18,pct_origen_referencia,0.03832475594407681
18,pct_uso_pabellon,0.020823198647311074
18,pabellones_promedio,0.0267707157592936
18,tasa_partos,1.0439570101967168e-05
18,tasa_prematurez,0.274502996484331
18,cv_estancia,0.008140845283247084
18,pct_estancia_larga,0.02942031682837353
19,egresos_por_anio,0.0528853981404399
19,estancia_media,0.027071325374022043
19,estancia_mediana,0.013824767586082571
19,peso_medio_grd,0.05390657429872546
19,severidad_media,0.027023187846945095
19,mortalidad_media,0.024095194914365067
19,entropia_grd,0.051137754115689486
19,comorbilidades_promedio,0.0008314913306157921
19,tasa_cma,0.15279787804758008
19,peso_medio_cma,6.765695593276402e-05
19,pct_pediatrico,1.9322387246503814e-10
19,pct_geriatrico,7.715273298352717e-09
19,pct_femenino_fertil,6.360446476722608e-05
19,edad_mediana,2.737698453128784e-09
19,pct_urgencia,0.7156464629625243
19,pct_programada,0.03771313678856719
19,pct_obstetrica_ingreso,0.00024651672764525043
19,pct_alta_domicilio,9.788760157251944e-05
19,pct_alta_fallecido,2.4108382000071143e-05
19,pct_alta_traslado,0.0011432019500635649
19,pct_origen_emergencia,0.01372130071116643
19,pct_origen_referencia,0.0008314913306157921
19,pct_uso_pabellon,0.21704385491841235
19,pabellones_promedio,0.4360846593368977
19,tasa_partos,0.0001708079382684622
19,tasa_prematurez,0.05390657429872546
19,cv_estancia,0.0007228514118549087
19,pct_estancia_larga,0.027071325374022043
20,egresos_por_anio,0.23191764362022738
20,estancia_media,0.007428963134151465
20,estancia_mediana,0.0027650842853617114
20,peso_medio_grd,4.0228983955876165e-08
